 INFO 2019-03-19T12:09:37,640 [main][[]] rohit.MainApp - MainApp started
 INFO 2019-03-19T12:09:37,645 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:37,645 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:37,646 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:37,746 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:37,746 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:37,746 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:37,847 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:37,847 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:37,847 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:37,947 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:37,948 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:37,948 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:38,048 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:38,048 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:38,048 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:38,149 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:38,149 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:38,149 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:38,249 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:38,250 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:38,250 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:38,350 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:38,350 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:38,350 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:09:38,451 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:09:38,451 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:09:38,451 [main][[]] rohit.B.ClazzB - ClazzB do
