 INFO 2019-03-19T12:16:54,196 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,200 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,300 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,300 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,300 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,400 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,400 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,400 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,501 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,501 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,501 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,601 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,601 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,601 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,701 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,701 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,701 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,801 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,801 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,801 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:54,901 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:54,901 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:54,901 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,001 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,001 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,001 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,102 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,102 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,102 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,202 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,202 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,202 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,302 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,302 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,302 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,402 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,402 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,402 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,502 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,502 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,502 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,602 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,602 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,602 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,702 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,702 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,703 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,803 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,803 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,803 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:55,903 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:55,903 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:55,903 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:56,003 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:56,003 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:56,003 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:56,103 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:56,103 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:56,103 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:56,203 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
 INFO 2019-03-19T12:16:56,203 [main][[]] rohit.A.ClazzA - ClazzA do
 INFO 2019-03-19T12:16:56,203 [main][[]] rohit.B.ClazzB - ClazzB do
 INFO 2019-03-19T12:16:56,303 [main][[]] rohit.MainApp - MainApp: Rolling file appender example...
